claim_id,doc_path,anchor,claim_text,claim_type,claim_status,owner_area,evidence_required,evidence_status,evidence_ref,freshness_policy,notes,candidate_ids
DOC-CLAIM-0013,docs/ci-gate-drift.md,manifest-mapping,Gate mappings are defined in scripts/ci_gate_mapping.json and verified against CI workflows.,ci_gate,current,ci,true,linked,DOC-TRACE-0013,on_change,CI gate drift verification,
DOC-CLAIM-0014,docs/ci-gate-drift.md,harbor-canonical,"The canonical push workflow is .github/workflows/harbor.yml running all gates on push to main, release/**, and version tags.",ci_gate,current,ci,true,linked,DOC-TRACE-0014,on_change,CI canonical workflow claim,
DOC-CLAIM-0015,docs/reports/security-audit-2026-05-31.md,overall-posture,Overall security posture documented as REASONABLE with 19 enforced claims and 5 tested-only.,historical,historical,security,false,not_required,,historical_only,Historical audit finding,
DOC-CLAIM-0016,docs/data-model/artifacts.md,diagnostic-pack-immutability,Diagnostic pack ZIPs and run-scoped pack contents are immutable source-of-truth artifacts.,data_model,current,artifacts,true,linked,DOC-TRACE-0016,on_change,Artifact immutability claim,
DOC-CLAIM-0017,docs/data-model/run-lifecycle.md,deterministic-health-run,Health run lifecycle is deterministic and produces typed artifacts under runs/health/.,data_model,current,data-model,true,linked,DOC-TRACE-0017,on_change,Run lifecycle claim,
DOC-CLAIM-0018,docs/security/llm-prompt-security-audit.md,prompt-injection-detection,The system implements deterministic local detector for semantic injection detection.,security,historical,security,false,not_required,,historical_only,Historical security audit finding,
DOC-CLAIM-0019,docs/auth.md,session-authentication,k9b supports secure session-based authentication for protecting the UI and API endpoints.,security,current,security,true,pending,,on_change,Session-based auth implemented; overall claim needs broader test coverage,DOC-CAND-ea9bc1bcef69
DOC-CLAIM-0020,docs/auth.md,server-side-sessions,Server-side sessions use opaque 256-bit session IDs stored in memory.,security,current,security,true,linked,DOC-TRACE-0020,on_change,256-bit session IDs verified,DOC-CAND-3a4ae1873e71
DOC-CLAIM-0021,docs/auth.md,pbkdf2-hashing,"Password hashing uses PBKDF2-HMAC-SHA256 with 600,000 iterations.",security,current,security,true,linked,DOC-TRACE-0021,on_change,PBKDF2 iterations verified,DOC-CAND-5edcb2dcb83d
DOC-CLAIM-0022,docs/auth.md,http-only-cookies,HttpOnly session cookies prevent XSS from accessing session tokens.,security,current,security,true,linked,DOC-TRACE-0022,on_change,HttpOnly flag verified,DOC-CAND-1b02bae6f776
DOC-CLAIM-0023,docs/auth.md,samesite-cookies,Session cookies use SameSite=Lax to prevent CSRF and allow external navigation.,security,current,security,true,linked,DOC-TRACE-0023,on_change,SameSite=Lax flag verified,DOC-CAND-fd258bca2ef4
DOC-CLAIM-0024,docs/auth.md,secure-cookie-flag,Secure cookie flag is configurable via K9B_SECURE_COOKIE=true environment variable.,security,current,security,true,linked,DOC-TRACE-0024,on_change,Verified by TestSecureCookieConfig tests in ACT 2.7,DOC-CAND-ec75ab039de7
DOC-CLAIM-0025,docs/auth.md,session-expiry,Session expiry defaults to 8 hours max age with 30 minute idle timeout.,security,current,security,true,linked,DOC-TRACE-0025,on_change,Session expiry constants verified,DOC-CAND-b0752f452f76
DOC-CLAIM-0026,docs/auth.md,authenticated-routes,All routes except auth endpoints require authentication.,security,current,security,true,linked,DOC-TRACE-0026,on_change,Protected API prefixes verified,DOC-CAND-9a2eac385af3
DOC-CLAIM-0027,docs/auth.md,generic-login-errors,Login errors do not disclose which field (username/password) failed.,data_model,current,security,true,linked,DOC-TRACE-0027,on_change,Generic error message verified,DOC-CAND-aa3b18ca3289
DOC-CLAIM-0028,docs/auth.md,logout-session-invalidation,Logout invalidates the server-side session.,security,current,security,true,linked,DOC-TRACE-0028,on_change,Session invalidation verified,DOC-CAND-4cffe561f716
DOC-CLAIM-0029,docs/coverage.md,canonical-coverage-generator,scripts/run_coverage.sh is the canonical full coverage report generator for both backend and frontend.,ci_gate,current,quality,true,linked,DOC-TRACE-0029,on_change,Coverage generator verified,DOC-CAND-f4525b466b56
DOC-CLAIM-0030,docs/coverage.md,backend-coverage-threshold,Backend Python coverage enforces 80% line coverage via --cov-fail-under=80 in pytest.,ci_gate,current,quality,true,linked,DOC-TRACE-0030,on_change,Backend coverage threshold verified,DOC-CAND-576b6a7d231b
DOC-CLAIM-0031,docs/coverage.md,frontend-coverage-threshold,Frontend TypeScript coverage enforces 90% line/statement coverage via Vitest threshold configuration.,ci_gate,current,quality,true,linked,DOC-TRACE-0031,on_change,Frontend coverage threshold verified,DOC-CAND-a9971e735790
DOC-CLAIM-0032,docs/coverage.md,branch-function-coverage-tracked,Branch and function coverage are tracked but not enforced (informational only).,ci_gate,current,quality,true,pending,DOC-TRACE-0032,on_change,Branch coverage tracked but fail_under=0 means not enforced,DOC-CAND-c820e7733600
DOC-CLAIM-0033,docs/coverage.md,coverage-artifacts-uploaded,Coverage reports are generated and uploaded as CI artifacts with 7-day retention.,ci_gate,current,quality,true,linked,DOC-TRACE-0033,on_change,Coverage artifacts upload verified,DOC-CAND-ce50e0a104a1
DOC-CLAIM-0034,docs/coverage.md,coverage-job-blocks-merge,Coverage job blocks merge on threshold violations.,ci_gate,current,quality,true,pending,DOC-TRACE-0034,on_change,Coverage is report-only per ACT 2.7 results; fail_under=0,DOC-CAND-e6bd12f3a294
DOC-CLAIM-0035,docs/ci-gate-drift.md,ci-gate-drift-wired,The ci-gate-drift verifier is wired into scripts/verify_all.sh as the ci-gate-drift step.,ci_gate,current,ci,true,linked,DOC-TRACE-0035,on_change,CI gate drift wired verified,DOC-CAND-e18697972c9b
DOC-CLAIM-0036,docs/ci-gate-drift.md,required-command-fragments,Required command fragments are checked against CI job definitions.,ci_gate,current,ci,true,linked,DOC-TRACE-0036,on_change,Command fragments verified,DOC-CAND-a9566bd142f3
DOC-CLAIM-0037,docs/ci-gate-drift.md,shard-union-verification,Shard union verification ensures test sharding has both matrix execution AND union verification.,ci_gate,current,ci,true,linked,DOC-TRACE-0037,on_change,Shard union verification verified,DOC-CAND-1d121b0550b3
DOC-CLAIM-0038,docs/ci-gate-drift.md,verify-yml-pr-only,.github/workflows/verify.yml runs for PR verification and manual workflow dispatch only.,ci_gate,current,ci,true,linked,DOC-TRACE-0038,on_change,verify.yml PR trigger verified,DOC-CAND-e3478cc73e29
DOC-CLAIM-0039,docs/data-model.md,latest-mutable-alias,"latest/ mirrors are mutable convenience aliases, not authoritative references.",data_model,current,data-model,true,linked,DOC-TRACE-0039,on_change,latest/ mutable alias verified,DOC-CAND-27ef2ced0c0c
DOC-CLAIM-0040,docs/data-model/artifacts.md,latest-directory-mutable,"The diagnostic-packs/latest/ directory is a mutable derived convenience alias, NOT an immutable artifact.",data_model,current,data-model,true,linked,DOC-TRACE-0040,on_change,latest/ mutable directory verified,DOC-CAND-b95774eeb69d
DOC-CLAIM-0041,docs/data-model/artifacts.md,immutable-source-of-truth,Immutable source-of-truth artifacts are written once and never modified.,data_model,current,data-model,true,linked,DOC-TRACE-0041,on_change,ACT 3.0: write_append_only_json_artifact enforces FileExistsError; tests prove overwrite refusal; verifier has hard checks,DOC-CAND-bac512c53802
DOC-CLAIM-0042,docs/data-model/artifacts.md,snapshot-immutable,ClusterSnapshot artifacts under runs/health/snapshots/ are immutable source of truth.,data_model,current,data-model,true,linked,DOC-TRACE-0042,on_change,ACT 3.0: loop_history.py persist_history_fact_artifacts uses inline path.exists() + raise FileExistsError enforcement; history fact artifacts enforce immutability,DOC-CAND-cc3c5e81da39
DOC-CLAIM-0043,docs/data-model/artifacts.md,assessment-immutable,Assessment artifacts under runs/health/assessments/ are immutable source of truth.,data_model,current,data-model,true,linked,DOC-TRACE-0043,on_change,ACT 3.0: loop_runner_assessments.py uses write_append_only_json_artifact with context; tests prove overwrite refusal,DOC-CAND-b57e6cc75b6e
DOC-CLAIM-0044,docs/data-model/artifacts.md,comparison-immutable,Comparison artifacts under runs/health/comparisons/ are immutable source of truth.,data_model,current,data-model,true,linked,DOC-TRACE-0044,on_change,ACT 3.0: loop_runner_comparisons.py uses write_append_only_json_artifact for comparison and trigger artifacts,DOC-CAND-29736295825b
DOC-CLAIM-0045,docs/data-model/artifacts.md,review-immutable,Review artifacts under runs/health/reviews/ are immutable source of truth.,data_model,current,data-model,true,linked,DOC-TRACE-0045,on_change,ACT 3.0: loop_review_pipeline.py uses write_append_only_json_artifact for review and proposal artifacts,DOC-CAND-978f5fd19012
DOC-CLAIM-0046,docs/data-model/artifacts.md,alertmanager-action-immutable,Alertmanager action artifacts are immutable append-only audit trail.,data_model,current,data-model,true,linked,DOC-TRACE-0046,on_change,Alertmanager action immutability verified,DOC-CAND-cd849e17216c
DOC-CLAIM-0047,docs/data-model/incidents.md,incident-not-evidence-store,"Incident is the case file, not the evidence store. Evidence truth lives in the artifact store.",data_model,current,data-model,true,linked,DOC-TRACE-0047,on_change,Incident vs evidence store verified,DOC-CAND-3040b83fc541
DOC-CLAIM-0048,docs/data-model/incidents.md,incident-events-append-only,IncidentEvent entries are append-only and represent historical facts.,data_model,current,data-model,true,linked,DOC-TRACE-0048,on_change,IncidentEvent append-only verified,DOC-CAND-92aaef7582df
DOC-CLAIM-0049,docs/data-model/incidents.md,read-models-derived,UI/API payloads for incident views are derived projections from the Incident aggregate and attached artifacts.,data_model,current,data-model,true,pending,DOC-TRACE-0049,on_change,Derived projections documented but needs explicit test,DOC-CAND-78d9bf332d82
DOC-CLAIM-0050,docs/data-model/alertmanager-sources.md,registry-authoritative,AlertmanagerSourceRegistry (alertmanager-source-registry.json) is the authoritative cross-run source of truth for operator decisions.,data_model,current,data-model,true,linked,DOC-TRACE-0050,on_change,Registry authoritative verified,DOC-CAND-18364c011e3e
DOC-CLAIM-0051,docs/data-model/alertmanager-sources.md,overrides-not-authoritative,Per-run override artifacts are NOT authoritative; they are derived support artifacts for UI display.,data_model,current,data-model,true,linked,DOC-TRACE-0051,on_change,Overrides not authoritative verified,DOC-CAND-ec6e358cfad2
DOC-CLAIM-0052,docs/data-model/alertmanager-sources.md,action-artifacts-audit-trail,Alertmanager source action artifacts provide append-only audit trail.,data_model,current,data-model,true,linked,DOC-TRACE-0052,on_change,Action artifacts audit trail verified,DOC-CAND-d3357b432167
DOC-CLAIM-0053,docs/data-model/alertmanager-sources.md,action-artifacts-immutable,Each action creates a new artifact with unique artifactid (UUID); they survive beyond run-scoped overrides.,data_model,current,data-model,true,linked,DOC-TRACE-0053,on_change,Unique artifact IDs verified,DOC-CAND-8445abf22c41
DOC-CLAIM-0054,docs/data-model/incident-report-quality.md,incident-report-claim-types,"Every claim in the incident report is classified into one of five types: observed, derived, hypothesis, unknown, recommendation.",data_model,current,data-model,true,linked,DOC-TRACE-0054,on_change,Verified by test_incident_report_quality_invariants.py in ACT 2.7,DOC-CAND-9ea96917bd09
DOC-CLAIM-0055,docs/data-model/incident-report-quality.md,observed-no-causal-language,"Observed claims never contain root-cause language (caused by, root cause, because of).",behavior,current,data-model,true,linked,DOC-TRACE-0055,on_change,Verified by test_incident_report_quality_invariants.py in ACT 2.7,DOC-CAND-6696169c1621
DOC-CLAIM-0056,docs/data-model/incident-report-quality.md,hypothesis-basis-required,Hypothesis claims must have non-empty basis to use root-cause language.,behavior,current,data-model,true,linked,DOC-TRACE-0056,on_change,Verified by test_incident_report_quality_invariants.py in ACT 2.7,DOC-CAND-61d2129dfbbb
DOC-CLAIM-0057,docs/data-model/incident-report-quality.md,unknowns-explicit,Unknown claims must have whyMissing explanation and must NOT be omitted or invented.,behavior,current,data-model,true,linked,DOC-TRACE-0057,on_change,Verified by test_incident_report_quality_invariants.py in ACT 2.7,DOC-CAND-d1c4bde045b1
DOC-CLAIM-0058,docs/data-model/incident-report-quality.md,report-derived-projection,"The incident report and worklist are derived projections, not source-of-truth artifacts.",data_model,current,data-model,true,linked,DOC-TRACE-0058,on_change,Derived projection verified,DOC-CAND-13463fe2910c
DOC-CLAIM-0059,README.md,no-autonomous-mutation,The agent never mutates live clusters autonomously; all adaptations pass through check-proposal replay validation and explicit operator approval.,security,current,security,true,linked,DOC-TRACE-0059,on_change,No autonomous mutation verified,DOC-CAND-3b6b80adfd33
DOC-CLAIM-0060,README.md,llm-output-advisory,"k9b treats LLM output as advisory and reviewable, never as automatic truth.",behavior,current,general,true,pending,DOC-TRACE-0060,on_change,LLM output advisory documented; needs runtime test,DOC-CAND-ac74b8db5695
DOC-CLAIM-0061,README.md,artifact-first-discipline,"All runs produce typed, inspectable, replayable artifacts under runs/health/. The UI/API are read-only projections of these artifacts.",data_model,current,general,true,linked,DOC-TRACE-0061,on_change,Artifact-first discipline verified,DOC-CAND-81730025469b
DOC-CLAIM-0062,README.md,evidence-boundary-discipline,"Raw cluster data is captured once, sanitized, and treated as immutable source of truth. LLM prompts are constructed from bounded, redacted evidence.",data_model,current,general,true,linked,DOC-TRACE-0062,on_change,Evidence boundary discipline verified,DOC-CAND-e486a5089d5e
DOC-CLAIM-0063,README.md,signal-finding-hypothesis-separation,"The system never collapses observed signal, derived symptom, hypothesis, confidence, and recommended action into one opaque conclusion.",behavior,current,general,true,linked,DOC-TRACE-0063,on_change,Verified by test_incident_report_quality_invariants.py in ACT 2.7,DOC-CAND-a0a366864c31
DOC-CLAIM-0064,README.md,production-readiness-caveat,Do not claim production readiness without explicit evidence in the repository.,behavior,current,general,true,linked,DOC-TRACE-0064,on_change,Verified by verify_production_readiness_disclaimer.py in ACT 2.7,DOC-CAND-e72d144d6de4
DOC-CLAIM-0065,docs/security-policy.md,no-live-cluster-mutation,The agent must never mutate live cluster resources.,security,current,security,true,linked,DOC-TRACE-0065,on_change,No live cluster mutation verified,DOC-CAND-ae0366b9f2f7
DOC-CLAIM-0066,docs/security/threat-model.md,provider-seam-enforcement,All LLM interactions are routed through the provider seam with explicit boundaries.,security,current,security,true,linked,DOC-TRACE-0066,on_change,Provider seam enforcement verified,DOC-CAND-53617884aede
